[39.4078747, -79.4067116]
[43.2200583, -78.3869685]
[40.9977765, -96.1622352]
[20.9033333, -156.3694444]
[36.970928, 24.723682]
[42.4078495, -77.2235873]
[38.891565, -121.2930079]
[42.9386856, -74.1881858]
[-21.2115445, -50.4261364]
[20.9997222, -156.6580556]
[40.76687624004169, -73.83335349045205]
[33.5588035, 133.5311675]
[38.19405307142858, -85.5982963142857]
[34.203997, -83.4571057]
[33.360699, -117.072701]
[45.0700047, -85.2645105]
[41.6556465, -74.6893282]
[52.2738177, 5.1643425]
[43.008608, -89.7384562]
[44.363132, -73.226031]
[37.811941, -107.6645057]
[39.5758213, -105.1122088]
[42.3695356, -71.9481302]
[46.054722, -89.257778]
[50.7218, -3.533617]
[47.645224584013214, -122.16867481595776]
[45.0808406, 13.6383512]
[37.7396513, -121.42522269999998]
[37.5588652, 126.8029305]
[36.2775665, -85.1049597]
[36.481464, -94.2732642]
[-7.962814983333334, 112.64312460000001]
[44.3580348, -89.0859464]
[44.7674614, -94.8955521]
[30.167800333333332, -98.06806623333334]
[18.4334704, -64.6332782]
[43.4463668, -96.8358847]
[40.014985599999875, -105.27054560000026]
[38.5292877, -76.9752514]
[51.2940006, -0.754624]
[30.0665907, -90.4800848]
[17.0669444, -96.7202778]
[30.33264489161299, -81.65430532774165]
[35.3584743, -79.8944901]
[40.7875572, -82.7365677]
[40.826752600000006, -76.55565135]
[43.16220163893142, -77.61107258473267]
[35.3842471, -92.2157074]
[47.4525996504349, -122.2593132208696]
[38.029305900000026, -78.47667810000002]
[45.4316759, -84.9919992]
[-41.2091655, 174.9080557]
[36.0140338, -85.1686743]
[42.5953378, -78.9411461]
[41.7719991, -80.8545331]
[28.39950740700002, -81.53741104899999]
[18.539269, -72.336408]
[49.88608299999999, -97.152921]
[41.525291, -74.854698]
[34.1209292, -93.0537839]
[40.1953106, -88.4042234]
[39.4037147, -76.9502567]
[38.0908796, -88.1586488]
[30.9471278, -97.5386204]
[54.7133822, -6.2167609]
[43.048677, -76.5627197]
[39.4562099, -77.9638869]
[38.6155668, -95.2677515]
[30.441642560241, -84.2858799457833]
[40.6233995, -79.7297706]
[55.378051, -3.435973]
[35.7177841, 139.56626]
[35.08449090000005, -106.6511367000001]
[37.410884, -94.70496]
[36.7277769, -110.25457669999999]
[-45.0311622, 168.6626435]
[46.649779, -70.800333]
[42.1934968, 0.152271]
[43.4392489, -70.7742246]
[18.383287922222223, -65.9743707222222]
[61.3213889, -149.5677777]
[46.1878841, -123.8312534]
[32.7667955, -96.5991593]
[33.8943393, -78.426672]
[46.7833333, -71.3]
[43.1009037, -74.772927]
[43.369141, -80.98126]
[44.71329690000001, -93.4227274]
[46.9812062, -123.6026629]
[40.299403, -109.9887605]
[39.7588736, -104.4274609]
[34.2659, -119.25836600000001]
[44.9864273, -73.4465251]
[48.141, 16.4771]
[7.0020455, 100.4573921]
[33.854721, 35.862285]
[36.3984803, -78.1552706]
[41.1699096075472, -73.21811186792449]
[35.650711, -78.4563914]
[37.8232447, -92.13837]
[37.6518867, -77.7226826]
[30.450746199999983, -91.154551]
[38.9181671, -78.1944446]
[42.4639722, -73.3964977]
[39.1686659, -120.9731775]
[39.6417629, -77.7199932]
[27.664827399999997, -81.51575349999995]
[-7.2484175, 107.9096501]
[30.6301452, -84.2278796]
[44.5645659, -123.2620435]
[33.3777903375, -84.59711695]
[45.3531842, -119.5577997]
[-7.1617805, 112.6514245]
[35.5365485, -78.2844435]
[3.134275921428573, 101.67555986904756]
[27.8598, 34.2824]
[39.3545046, -84.1271568]
[27.6947732, -80.543845]
[45.273216, -66.064813]
[38.6183445, -94.5052305]
[41.706869299999994, -73.9256479722222]
[14.7125363, 101.4218192]
[-0.789275, 113.92132699999999]
[35.7201463, -79.1772371]
[44.810237916666665, -91.48928088333334]
[35.8422967, -90.704279]
[53.3255453, 6.0001461]
[37.611536, -77.8163845]
[36.6056886, -77.6077865]
[44.8730167, -91.6910015]
[46.8673263, -122.266502]
[38.19667, -80.69111]
[44.9166667, -79.3666667]
[25.8456722642857, -80.31889059642857]
[40.4774818, -104.9013617]
[29.619539792307698, -95.63197613846152]
[39.4840108, -0.7532809]
[39.3762145, -77.154704]
[41.7533819, -86.11083770000002]
[37.4635519, -122.4285862]
[48.8718421, 10.2463006]
[33.6259545, -83.6123935]
[45.525410799999996, -122.97612223333336]
[37.975339020833324, -121.73731516250002]
[54.5823737, 10.0212842]
[40.64738827083334, -74.602102525]
[17.060816, -61.796428]
[13.3742669, 144.7082568]
[44.50789623636362, -88.02764150454543]
